Timezone,Variation to PST,Variation to EST,Comparison
America/New_York,180,0,Closer to EST
America/Detroit,180,0,Closer to EST
America/Kentucky/Louisville,180,0,Closer to EST
America/Kentucky/Monticello,180,0,Closer to EST
America/Indiana/Indianapolis,180,0,Closer to EST
America/Indiana/Vincennes,180,0,Closer to EST
America/Indiana/Winamac,180,0,Closer to EST
America/Indiana/Marengo,180,0,Closer to EST
America/Indiana/Petersburg,180,0,Closer to EST
America/Indiana/Vevay,180,0,Closer to EST
America/Chicago,120,60,Closer to EST
America/Indiana/Tell_City,120,60,Closer to EST
America/Indiana/Knox,120,60,Closer to EST
America/Menominee,120,60,Closer to EST
America/North_Dakota/Center,120,60,Closer to EST
America/North_Dakota/New_Salem,120,60,Closer to EST
America/North_Dakota/Beulah,120,60,Closer to EST
America/Denver,60,120,Closer to PST
America/Boise,60,120,Closer to PST
America/Phoenix,0,180,Closer to PST
America/Los_Angeles,0,180,Closer to PST
America/Anchorage,60,240,Closer to PST
America/Juneau,60,240,Closer to PST
America/Sitka,60,240,Closer to PST
America/Metlakatla,60,240,Closer to PST
America/Yakutat,60,240,Closer to PST
America/Nome,60,240,Closer to PST
America/Adak,120,300,Closer to PST
Pacific/Honolulu,180,360,Closer to PST
