Timezone,Variation to PST,Variation to EST,Comparison
America/New_York,3.0,0.0,Closer to EST
America/Detroit,3.0,0.0,Closer to EST
America/Kentucky/Louisville,3.0,0.0,Closer to EST
America/Kentucky/Monticello,3.0,0.0,Closer to EST
America/Indiana/Indianapolis,3.0,0.0,Closer to EST
America/Indiana/Vincennes,3.0,0.0,Closer to EST
America/Indiana/Winamac,3.0,0.0,Closer to EST
America/Indiana/Marengo,3.0,0.0,Closer to EST
America/Indiana/Petersburg,3.0,0.0,Closer to EST
America/Indiana/Vevay,3.0,0.0,Closer to EST
America/Chicago,2.0,1.0,Closer to EST
America/Indiana/Tell_City,2.0,1.0,Closer to EST
America/Indiana/Knox,2.0,1.0,Closer to EST
America/Menominee,2.0,1.0,Closer to EST
America/North_Dakota/Center,2.0,1.0,Closer to EST
America/North_Dakota/New_Salem,2.0,1.0,Closer to EST
America/North_Dakota/Beulah,2.0,1.0,Closer to EST
America/Denver,1.0,2.0,Closer to PST
America/Boise,1.0,2.0,Closer to PST
America/Phoenix,0.0,3.0,Closer to PST
America/Los_Angeles,0.0,3.0,Closer to PST
America/Anchorage,1.0,4.0,Closer to PST
America/Juneau,1.0,4.0,Closer to PST
America/Sitka,1.0,4.0,Closer to PST
America/Metlakatla,1.0,4.0,Closer to PST
America/Yakutat,1.0,4.0,Closer to PST
America/Nome,1.0,4.0,Closer to PST
America/Adak,2.0,5.0,Closer to PST
Pacific/Honolulu,3.0,6.0,Closer to PST
